walking_tick_	current_step_num_	current_link_q_leg_(0)	current_link_q_leg_(1)	current_link_q_leg_(2)	current_link_q_leg_(3)	current_link_q_leg_(4)	current_link_q_leg_(5)	current_link_q_leg_(6)	current_link_q_leg_(7)	current_link_q_leg_(8)	current_link_q_leg_(9)	current_link_q_leg_(10)	current_link_q_leg_(11)
0	0	7.30688e-08	0.0351372	-0.0349764	0.734837	-0.698959	-0.0349813	-9.53209e-08	-0.03517	0.0350023	-0.734877	0.698971	0.0349629
1	0	7.28859e-08	0.0351372	-0.0349764	0.734837	-0.698959	-0.0349813	-9.51402e-08	-0.03517	0.0350023	-0.734877	0.698971	0.0349629
2	0	5.28803e-06	0.0351463	-0.0349581	0.735349	-0.699197	-0.0349915	-2.21707e-06	-0.0351865	0.0349838	-0.73539	0.699209	0.0349746
3	0	6.40456e-06	0.0351584	-0.0346394	0.735938	-0.699621	-0.0350229	-2.0162e-05	-0.0352145	0.0346725	-0.735986	0.699632	0.0350059
4	0	6.58338e-06	0.0351774	-0.0345754	0.736293	-0.699952	-0.0350669	-2.27834e-05	-0.0352295	0.0346134	-0.736349	0.699965	0.0350395
5	0	-1.40576e-06	0.0351878	-0.0347777	0.736356	-0.700086	-0.0351068	-1.62506e-05	-0.0352372	0.0348223	-0.736422	0.700103	0.0350644
6	0	-1.36031e-06	0.0351839	-0.0348499	0.736221	-0.700089	-0.0351282	-4.5439e-06	-0.0352423	0.0348972	-0.736295	0.700111	0.0350755
7	0	7.70922e-06	0.0351591	-0.0347902	0.736078	-0.700031	-0.0351242	8.10962e-06	-0.0352584	0.0348385	-0.736161	0.700062	0.0350728
8	0	1.35588e-05	0.0351393	-0.0347442	0.73603	-0.699948	-0.0351049	1.35611e-05	-0.0352681	0.0347941	-0.736122	0.699985	0.0350539
9	0	1.65622e-05	0.0351544	-0.0347242	0.736065	-0.699879	-0.0350915	1.37235e-05	-0.0352495	0.0347724	-0.736157	0.699919	0.0350249
10	0	1.28624e-05	0.0351919	-0.0346971	0.736125	-0.699836	-0.0350881	5.80505e-06	-0.0352161	0.0347429	-0.73621	0.699873	0.0349988
11	0	-7.98661e-07	0.0352277	-0.0346591	0.736193	-0.69981	-0.0350885	-1.25391e-05	-0.0351918	0.0347063	-0.736269	0.699839	0.0349852
12	0	-1.46091e-05	0.0352408	-0.0346149	0.736249	-0.699801	-0.0350877	-2.97147e-05	-0.0351948	0.0346669	-0.736321	0.699822	0.0349914
13	0	-1.52521e-05	0.0352349	-0.0345794	0.736284	-0.6998	-0.0350856	-3.10336e-05	-0.0352173	0.0346342	-0.736357	0.699817	0.0350111
14	0	-1.38486e-06	0.0352183	-0.034579	0.736295	-0.699794	-0.0350837	-1.43052e-05	-0.0352481	0.0346324	-0.736373	0.699813	0.0350337
15	0	1.5691e-05	0.0351988	-0.0346148	0.736285	-0.699774	-0.0350843	8.47703e-06	-0.0352782	0.0346667	-0.736372	0.699801	0.0350502
16	0	2.08257e-05	0.0351929	-0.0346516	0.73627	-0.699752	-0.0350904	1.8715e-05	-0.0352903	0.0347048	-0.736367	0.699786	0.0350516
17	0	1.33866e-05	0.0352047	-0.0346755	0.736265	-0.699735	-0.0351014	1.43541e-05	-0.0352826	0.0347321	-0.736367	0.699773	0.03504
18	0	8.12491e-07	0.0352234	-0.0346885	0.73627	-0.699722	-0.035112	2.48518e-06	-0.0352674	0.0347483	-0.736372	0.69976	0.0350237
19	0	-6.98865e-06	0.0352361	-0.0346951	0.736277	-0.699711	-0.035117	-6.27273e-06	-0.0352586	0.0347561	-0.736377	0.699747	0.0350121
20	0	-6.97976e-06	0.0352451	-0.0347002	0.736283	-0.699696	-0.0351166	-8.20094e-06	-0.0352551	0.0347595	-0.736378	0.699729	0.0350064
21	0	-2.28306e-06	0.035254	-0.0347113	0.736287	-0.699677	-0.0351129	-4.9381e-06	-0.0352523	0.034767	-0.736377	0.699709	0.0350073
22	0	1.56942e-07	0.0352614	-0.0347356	0.736292	-0.699655	-0.0351077	-2.91322e-06	-0.035252	0.0347891	-0.736378	0.699685	0.0350129
23	0	-1.67398e-06	0.0352606	-0.0347738	0.736298	-0.69963	-0.0351012	-4.2344e-06	-0.03526	0.0348283	-0.736383	0.699657	0.0350222
24	0	-3.68012e-06	0.0352518	-0.0348196	0.736303	-0.699602	-0.035095	-5.37879e-06	-0.0352759	0.0348767	-0.736391	0.699628	0.0350323
25	0	-1.17922e-06	0.0352419	-0.0348647	0.736307	-0.699572	-0.035092	-2.21986e-06	-0.0352923	0.0349233	-0.736399	0.6996	0.0350394
26	0	5.30929e-06	0.0352372	-0.0349036	0.736308	-0.699542	-0.0350938	4.51288e-06	-0.0353028	0.0349614	-0.736403	0.699573	0.0350407
27	0	1.04681e-05	0.035241	-0.0349341	0.736307	-0.699511	-0.0351002	9.52336e-06	-0.0353041	0.03499	-0.736404	0.699544	0.0350357
28	0	8.73082e-06	0.0352517	-0.0349644	0.73631	-0.699484	-0.0351077	7.94575e-06	-0.0352976	0.0350196	-0.736405	0.699519	0.035028
29	0	9.24397e-07	0.035267	-0.0350045	0.736315	-0.699456	-0.0351149	7.30074e-07	-0.0352866	0.03506	-0.736408	0.699488	0.0350196
30	0	-7.42045e-06	0.0352792	-0.0350552	0.736322	-0.699426	-0.035118	-6.65939e-06	-0.0352787	0.0351113	-0.73641	0.699455	0.035015
31	0	-1.05448e-05	0.0352828	-0.0351259	0.736328	-0.699389	-0.0351154	-8.45697e-06	-0.0352799	0.0351816	-0.736412	0.699415	0.0350169
